PaymentUuid,Currency,Amount,Address,OpenedDate,Authorized,Pending,TxFee,Canceled,TxId
2adf64fd-7999-42c9-aaa0-093b986f24f9,XLM,289.26739000,GDQP2KPQGKIHYJGXNUIYOMHARUARCA7DJT5FO2FFOOKY3B2WSQHG4W37,2019-04-13 22:08:51Z,true,false,0.01000000,false,648c1512891f6dbcc90254bd61c787a54ebc9dddeb3844bdb788a9d08b2bf188
0f3dfd6c-39a4-4a8c-8a67-bd35eb8b7e09,XRP,371.19854306,rw2ciyaNshpHe7bCHo4bRWq6pqqynnWKQg,2019-06-12 16:42:25Z,true,false,1.00000000,false,85B40B46338EBFEE61DAE00019830042DCC903D683FED0FAA89E5792D85DBB22
0f3dfd6c-39a4-4a8c-8a67-bd35eb8b7,XMR,5.95642469,,2021-01-02 15:48:31Z,true,false,0.00010000,false,85B40B46338EBFEE61DAE00019830042DCC903D683FED0FAA89E5792D85
