"Asset","Date","Description","Amount","Fee","Price","Pair","Other Currency","Other Amount","IBAN","Transaction Hash","Address","Tram","Additional Info"
# sold XRP for USD
#CM has two rows for each transaction, but all the necessary info is present in 1, so we can ignore the dup
# BUY=(to-from) and SELL=(from-to)
# sell
#"XRP","2021-04-30 10:52:36","Order 46a38676ba8aae7f","-20.0","0","0.00002825","XRP/BTC","BTC","0.0005649","n/a","n/a","n/a","n/a","n/a"
#buy
#"BTC","2021-04-30 10:52:36","Order 46a38676ba8aae7f","0.0005644","0.000001","0.00002825","XRP/BTC","XRP","-20.0","n/a","n/a","n/a","n/a","n/a"
# looks like fee is always present on the row with positive value first
###########
# a standard BUY of XRP from market XRP/USD , except fee is in XRP, which is abnormal because fee is usually in base currency
# usually a buy
"USD","2021-04-08 23:19:01","Order 5f3fe312f3cacfdb","36.97","0.03701","1.05734","XRP/USD","XRP","-35.0","n/a","n/a","n/a","n/a","n/a"
"XRP","2021-04-06 11:26:53","Order f54eeb3df2aa6f24","-60.0","0","1.03693","XRP/USD","USD","62.22","n/a","n/a","n/a","n/a","n/a"
"USD","2021-04-06 11:26:53","Order f54eeb3df2aa6f24","62.15","0.06222","1.03693","XRP/USD","XRP","-60.0","n/a","n/a","n/a","n/a","n/a"
"USD","2021-04-05 23:46:23","Order ab6de74f564e77a4","44.81","0.04485","0.8971","XRP/USD","XRP","-50.0","n/a","n/a","n/a","n/a","n/a"
"XRP","2021-04-05 23:46:23","Order ab6de74f564e77a4","-50.0","0","0.8971","XRP/USD","USD","44.86","n/a","n/a","n/a","n/a","n/a"
"XCM","2021-04-05 19:00:11","Bonus - Promo AMBASSADOR","11.47","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Promo AMBASSADOR"
"USD","2021-04-05 18:59:20","Order 398458a577440c5f","53.24","0.0533","0.819969","XRP/USD","XRP","-65.0","n/a","n/a","n/a","n/a","n/a"
"XRP","2021-04-05 18:59:20","Order 398458a577440c5f","-65.0","0","0.819969","XRP/USD","USD","53.3","n/a","n/a","n/a","n/a","n/a"
"XRP","2021-04-05 11:10:24","Order f1cd6a6910e4cd8e","-70.0","0","0.711957","XRP/USD","USD","49.84","n/a","n/a","n/a","n/a","n/a"
"USD","2021-04-05 11:10:24","Order f1cd6a6910e4cd8e","49.79","0.04984","0.711957","XRP/USD","XRP","-70.0","n/a","n/a","n/a","n/a","n/a"
"USD","2021-03-10 15:45:24","Order f58f759649c3843c","-46.88","0","0.46879","XRP/USD","XRP","100.0","n/a","n/a","n/a","n/a","n/a"
"XRP","2021-03-10 15:45:24","Order f58f759649c3843c","100.0","0","0.46879","XRP/USD","USD","-46.88","n/a","n/a","n/a","n/a","n/a"
"XRP","2021-02-13 03:27:40","Order 79447c28c0c5d510","-100.0","0","0.638","XRP/USD","USD","63.8","n/a","n/a","n/a","n/a","n/a"
"USD","2021-02-13 03:27:40","Order 79447c28c0c5d510","63.74","0.0638","0.638","XRP/USD","XRP","-100.0","n/a","n/a","n/a","n/a","n/a"
"XRP","2021-02-10 15:29:22","Order cb90a0ddd832250a","-200.0","0","0.479166","XRP/USD","USD","95.83","n/a","n/a","n/a","n/a","n/a"
"USD","2021-02-10 15:29:22","Order cb90a0ddd832250a","95.83","0","0.479166","XRP/USD","XRP","-199.99","n/a","n/a","n/a","n/a","n/a"
"XRP","2021-02-10 15:25:45","Deposit 6023faf387c57a203650aaaa","888.75","0","n/a","n/a","n/a","n/a","n/a","F694EE8478692CD13578A935ACB383BBE2BAFB8CA40A144D5A97DF58303B1C22","n/a","n/a","n/a"
