"txid","refid","time","type","subtype","aclass","asset","amount","fee","balance"
#we ignore "trade" transactions because those are handled in the trades CSV
"LLDDOY-K5DYZ-2OU7R7","TRHEQM-MQYN6-XL2JLF","2021-06-18 13:59:50","trade","","currency","XXBT",0.0074021400,0.0000192400,0.0149937800
"LTIWER-HY7KR-ZUYOWH","T6X53U-UPPGT-4WOI2D","2021-10-05 21:36:33","trade","","currency","XXBT",-0.0031392000,0.0000081600,0.0118464200
"L3NF62-UH6HN-D4QJRJ","T6X53U-UPPGT-4WOI2D","2021-10-05 21:36:33","trade","","currency","XXMR",0.6000000000,0.0000000000,8.8057996900
"L5H54N-U2QLH-NQMU7D","T7CYE4-DJOWL-FNZQOJ","2021-10-16 21:05:31","trade","","currency","XXBT",-0.0032992500,0.0000085800,0.0085385900
"LRFT37-SOFWP-IFDUVQ","T7CYE4-DJOWL-FNZQOJ","2021-10-16 21:05:31","trade","","currency","XXMR",0.7500000000,0.0000000000,9.5557996900
"L5OSD2-J55B5-RO6UYM","TKL6OB-A64BW-R6DIDB","2021-10-19 22:53:28","trade","","currency","XXBT",-0.0039880400,0.0000103600,0.0045401900
"LVDE5B-DPUDA-R2K3PY","TKL6OB-A64BW-R6DIDB","2021-10-19 22:53:28","trade","","currency","XXMR",1.0000000000,0.0000000000,10.5557996900
"LZQ7PG-KBBZY-S2Z6DP","T7A44L-6N53V-OMH3AN","2021-10-25 11:09:23","trade","","currency","XXMR",-0.5000000000,0.0000000000,10.0557996900
"L6VG6U-ZS42I-SZCN32","T7A44L-6N53V-OMH3AN","2021-10-25 11:09:23","trade","","currency","ZUSD",144.3800,0.3754,144.0046
"LTNMWT-226UV-FLVCVU","TDZ7EX-KC644-WYRLAZ","2021-11-03 00:37:47","trade","","currency","XXBT",-0.0010827500,0.0000028200,0.0034546200
"LEPWB5-GPQGG-3SVLNM","TDZ7EX-KC644-WYRLAZ","2021-11-03 00:37:47","trade","","currency","XXMR",0.2500000000,0.0000000000,10.3057996900
"LAHKKW-LHLY4-UA55IU","TRRUAU-SGYNZ-BJ2I2K","2021-12-04 23:54:49","trade","","currency","ZUSD",-143.3825,0.3728,0.2493
"LPWYIK-2Q5OJ-Y4DYE4","TRRUAU-SGYNZ-BJ2I2K","2021-12-04 23:54:49","trade","","currency","XXMR",0.7000000000,0.0000000000,11.0057996900
"LSRQP5-B7DMD-NAA44B","T47K65-WS4I6-HRW5P6","2021-12-05 00:04:16","trade","","currency","XXBT",-0.0012502400,0.0000032500,0.0022011300
"LKUSQY-CYKFY-YQHXD3","T47K65-WS4I6-HRW5P6","2021-12-05 00:04:16","trade","","currency","XXMR",0.3000000000,0.0000000000,11.3057996900
